,Code,Neighborhood,Price,m²,Street,Price/m²
264,107747, São Sebastião,198600.0,56.56,Rua Lasar Segall,3511.315417256011
265,189266, Partenon,160000.0,28.9,Rua Bento de Amaral,5536.332179930796
266,215704, Passo da Areia,589000.0,91.85,Rua General Pedro Bittencourt,6412.629286880784
267,218465, Jardim Itu,470000.0,150.0,Rua Bartolomeu Dias,3133.3333333333335
268,225970, Praia de Belas,693500.0,88.32,Avenida Praia de Belas,7852.128623188406
269,261105, Petrópolis,142500.0,27.17,Avenida Protásio Alves,5244.755244755244
270,288019, Floresta,70000.0,66.91,Rua Garibaldi,1046.1814377522046
271,242341, Vila Ipiranga,560500.0,75.56,Rua Guiné,7417.946003176284
272,251503, Bom Jesus,478000.0,251.4,Rua das Camélias,1901.3524264120922
273,263701, Centro Histórico,160000.0,37.33,Rua Sarmento Leite,4286.096972944013
274,186193, São João,894985.0,154.0,Rua Honório Silveira Dias,5811.590909090909
275,146801, Cristo Redentor,72200.0,36.47,Avenida Francisco Trein,1979.7093501508089
276,155444, Jardim Sabará,209000.0,95.0,Rua Guadalajara,2200.0
277,206109, Centro Histórico,950000.0,183.37,Rua Riachuelo,5180.782025413099
278,216635, Rio Branco,1490000.0,120.1,Rua Quintino Bocaiúva,12406.328059950043
279,101688, Ipanema,945000.0,312.3,Rua Imeram Teixeira Cabeleira,3025.936599423631
280,177583, Cristo Redentor,2375000.0,340.0,Avenida Assis Brasil,6985.294117647059
281,127521, Tristeza,213500.0,43.6,Rua Doutor Pereira Neto,4896.7889908256875
282,249871, Vila João Pessoa,450000.0,90.53,Rua Irmão Geraldo,4970.727935490997
283,288617, Camaquã,150000.0,40.47,Rua Tamandaré,3706.449221645664
284,161213, Centro Histórico,427000.0,99.5,Avenida Senador Salgado Filho,4291.457286432161
285,147565, Hípica,502550.0,189.91,Rua Santos Zottis,2646.2534884945503
286,194124, Jardim Leopoldina,224000.0,84.75,Rua Vereador Terezio Meireles,2643.0678466076697
287,215697, Boa Vista,650000.0,42.7,Avenida Francisco Petuco,15222.482435597189
288,253904, Cristal,380000.0,47.74,Rua Doutor Campos Velho,7959.7821533305405
289,126185, Sarandi,399000.0,95.0,Rua Engenheiro Fernando de Abreu Pereira,4200.0
290,219004, Glória,1100000.0,275.52,Rua São Joaquim,3992.4506387921024
291,193330, Menino Deus,198000.0,56.66,Rua Mucio Teixeira,3494.528768090364
292,213938, Mário Quintana,160000.0,43.35,Avenida Martim Félix Berta,3690.8881199538637
293,220447, Tristeza,1409000.0,149.84,Rua Doutor Armando Barbedo,9403.363587827016
294,185102, Higienópolis,200000.0,36.18,Rua General Couto de Magalhães,5527.91597567717
295,205573, Rubem Berta,150000.0,40.26,Avenida Francisco Silveira Bitencourt,3725.7824143070047
296,164538, Teresópolis,770000.0,260.0,Rua Professor Carvalho Freitas,2961.5384615384614
297,219233, Vila Nova,839000.0,155.78,Estrada João Salomoni,5385.800487867506
298,183917, Jardim Botânico,232750.0,62.6,Rua Chile,3718.0511182108626
299,201425, Hípica,617000.0,242.0,Avenida Celestino Bertolucci,2549.586776859504
300,210154, Três Figueiras,2253000.0,173.16,Alameda Alceu Wamosy,13011.088011088012
301,220754, Petrópolis,510000.0,76.86,Avenida Coronel Lucas de Oliveira,6635.44106167057
